"id","game_title","year"
"555","Mario Party","1998"
"556","Madden NFL 12","2011"
"557","LEGO Star Wars II: The Original Trilogy","2006"
"558","Madden NFL 11","2010"
"559","Mario vs. Donkey Kong: Mini-Land Mayhem!","2010"
"560","Skate 3","2010"
"561","Burnout 3: Takedown","2004"
"562","Yokai Watch 2 Shinuchi","2014"
"563","Need for Speed: Shift","2009"
"564","Final Fantasy XIII-2","2011"
"565","Mortal Kombat","1992"
"566","Call Of Duty 2: Big Red One","2005"
"568","Medal of Honor","1998"
"569","Fable","2004"
"570","Hannah Montana","2006"
"571","Tom Clancy's Splinter Cell","2003"
"572","Skylanders Giants","2012"
"573","Medal of Honor Heroes","2006"
"574","Super Mario Bros.: The Lost Levels","1986"
"575","Star Wars: Shadows of the Empire","1996"
"577","Midnight Club: Street Racing","2000"
"578","Pac-Man: Adventures in Time","2006"
"579","Halo Wars","2009"
"580","God of War Collection","2009"
"581","ESPN NFL 2K5","2004"
"582","Mario Strikers Charged","2007"
"585","NBA 2K12","2011"
"586","Style Savvy","2008"
"587","Harry Potter and the Chamber of Secrets","2002"
"588","Super Mario All-Stars: Limited Edition","2010"
"589","Streets of Rage","1990"
"590","FIFA Soccer 09","2008"
"591","Ratchet & Clank Future: Tools of Destruction","2007"
"592","NBA Live 2005","2004"
"593","LittleBigPlanet","2009"
"594","Killzone: Shadow Fall","2013"
"595","Ghostbusters: The Video Game (DS Version)","2009"
"596","Monster Hunter Freedom 2","2007"
"597","WWE SmackDown vs. RAW 2007","2006"
"598","Ratchet & Clank: Up Your Arsenal","2004"
"599","Art Academy","2010"
"600","Dragon Age: Origins","2009"
"601","Madden NFL 08","2007"
"602","Sonic Adventure 2 Battle","2001"
"603","Dragon Warrior II","1987"
"605","Pok�mon Colosseum","2003"
"606","Deca Sports","2008"
"607","Madden NFL 09","2008"
"609","Crazy Taxi","2001"
"610","Perfect Dark","2000"
"611","Game Party","2007"
"612","Dragon Warrior","1986"
"613","Tomb Raider (2013)","2013"
"614","Marvel: Ultimate Alliance","2006"
"615","PES 2009: Pro Evolution Soccer","2008"
"616","Mario Party 2","1999"
"618","Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","2003"
"619","LEGO Harry Potter: Years 1-4","2010"
"620","Mortal Kombat: Deadly Alliance","2002"
"621","Resistance 2","2008"
"622","Pure","2008"
"623","Tomb Raider: The Last Revelation","1998"
"626","NBA 2K14","2013"
"627","Mario Party 4","2002"
"628","uDraw Studio","2010"
"629","Midnight Club: Los Angeles","2008"
"630","Final Fantasy V","1992"
"631","Final Fantasy Tactics","1997"
"632","Twisted Metal 2","1996"
"633","Halo: Combat Evolved Anniversary","2011"
"634","Need for Speed Carbon: Own the City","2006"
"635","The Sims: Bustin' Out","2003"
"636","Riven: The Sequel to Myst","1997"
"637","Tom Clancy's Rainbow Six: Vegas 2","2008"
"638","Sonic Adventure","1998"
"639","Ice Hockey","1988"
"640","pro evolution soccer 2011","2010"
"641","Dragon Ball Z: Budokai 2","2003"
"642","ATV Offroad Fury","2001"
"643","Dino Crisis","1998"
"645","Need for Speed: ProStreet","2007"
"647","Tetris Plus","1996"
"648","Pro Wrestling","1987"
"649","Theme Hospital","1997"
"651","Need for Speed (2015)","2015"
"655","Monopoly","1994"
"656","Batman: Arkham Origins","2013"
"657","Dead Island","2011"
"658","Guitar Hero","2005"
"660","Kinect: Disneyland Adventures","2011"
"661","WCW/nWo Revenge","1998"
"662","Bloodborne","2015"
"663","NBA 2K15","2014"
"665","Yu-Gi-Oh! The Duelists of the Roses","2001"
